Valid.perplexity,Dropout 0.0,Dropout 0.2,Dropout 0.3,Dropout 0.4,Dropout 0.5
Epoch 1,338.51,498.89,308.44,280.35,279.45
Epoch 2,198.04,336.68,198.67,173.64,165.57
Epoch 3,152.38,299.56,156.57,145.82,141.31
Epoch 4,137.14,258.21,139.1,128.54,132.1
Epoch 5,126.09,217.35,127.9,123.71,124.52
Epoch 6,127.21,218.28,121.54,118.11,121.12
Epoch 7,110.66,207.24,119.04,112.93,120.38
Epoch 8,113.3,196.83,116.72,112.46,118.3
Epoch 9,111.38,191.19,114.14,111.49,117.84
Epoch 10,111.03,190.3,114.16,112.93,117.31
Epoch 11,110.95,185.57,108.05,103.59,115.46
Epoch 12,110.93,181.46,108.01,104.46,120.4
Epoch 13,110.93,173.98,108.77,102.83,112.31
Epoch 14,110.93,175.51,107.29,103.1,112.58
Epoch 15,110.93,173.52,107.78,102.96,111.56
Epoch 16,110.93,171.49,107.7,102.93,111.94
Epoch 17,110.93,172.33,107.7,102.92,111.97
Epoch 18,110.93,171.06,107.69,102.92,111.95
Epoch 19,110.93,171.1,107.69,102.91,111.94
Epoch 20,110.93,170.23,107.69,102.91,111.93
Epoch 21,110.93,170.22,107.69,102.91,111.93
Epoch 22,110.93,170.41,107.69,102.91,111.93
Epoch 23,110.93,170.36,107.69,102.91,111.93
Epoch 24,110.93,170.35,107.69,102.91,111.93
Epoch 25,110.93,170.35,107.69,102.91,111.93
Epoch 26,110.93,170.35,107.69,102.91,111.93
Epoch 27,110.93,170.35,107.69,102.91,111.93
Epoch 28,110.93,170.35,107.69,102.91,111.93
Epoch 29,110.93,170.35,107.69,102.91,111.93
Epoch 30,110.93,170.35,107.69,102.91,111.93
Epoch 31,110.93,170.35,107.69,102.91,111.93
Epoch 32,110.93,170.35,107.69,102.91,111.93
Epoch 33,110.93,170.35,107.69,102.91,111.93
Epoch 34,110.93,170.35,107.69,102.91,111.93
Epoch 35,110.93,170.35,107.69,102.91,111.93
Epoch 36,110.93,170.35,107.69,102.91,111.93
Epoch 37,110.93,170.35,107.69,102.91,111.93
Epoch 38,110.93,170.35,107.69,102.91,111.93
Epoch 39,110.93,170.35,107.69,102.91,111.93
Epoch 40,110.93,170.35,107.69,102.91,111.93
