Epoch	ValidLoss	ValidPPL
1	5.63	279.45
2	5.11	165.57
3	4.95	141.31
4	4.88	132.10
5	4.82	124.52
6	4.80	121.12
7	4.79	120.38
8	4.77	118.30
9	4.77	117.84
10	4.76	117.31
11	4.75	115.46
12	4.79	120.40
13	4.72	112.31
14	4.72	112.58
15	4.71	111.56
16	4.72	111.94
17	4.72	111.97
18	4.72	111.95
19	4.72	111.94
20	4.72	111.93
21	4.72	111.93
22	4.72	111.93
23	4.72	111.93
24	4.72	111.93
25	4.72	111.93
26	4.72	111.93
27	4.72	111.93
28	4.72	111.93
29	4.72	111.93
30	4.72	111.93
31	4.72	111.93
32	4.72	111.93
33	4.72	111.93
34	4.72	111.93
35	4.72	111.93
36	4.72	111.93
37	4.72	111.93
38	4.72	111.93
39	4.72	111.93
40	4.72	111.93
40	4.18	65.11
